epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,825.764,1.93851,1.44533,1.06214,0.60592,0.55138,0.59329,0.31308,1.59973,1.21456,0.98398,0.00333237,0.00333237,0.00333237
2,1615.94,1.62462,1.08653,0.95323,0.58332,0.55983,0.59105,0.32874,1.49083,1.17448,0.9522,0.00659972,0.00659972,0.00659972
3,2390.01,1.56567,1.04304,0.93758,0.63806,0.56899,0.62885,0.35323,1.463,1.10276,0.94404,0.00980106,0.00980106,0.00980106
4,3155.72,1.51116,1.00803,0.9252,0.60239,0.54322,0.5933,0.33437,1.448,1.12745,0.93629,0.009703,0.009703,0.009703
5,3919.65,1.43257,0.95704,0.91157,0.57877,0.52968,0.568,0.31435,1.4824,1.13851,0.93758,0.009604,0.009604,0.009604
6,4684.17,1.38786,0.93068,0.90417,0.60398,0.56229,0.60988,0.34879,1.41199,1.07762,0.92792,0.009505,0.009505,0.009505
7,5482.38,1.35928,0.91257,0.89932,0.57734,0.56341,0.59158,0.33881,1.41476,1.08926,0.92802,0.009406,0.009406,0.009406
8,6277.39,1.33811,0.89808,0.89617,0.5728,0.53977,0.57705,0.32836,1.42737,1.10608,0.93009,0.009307,0.009307,0.009307
9,7068.33,1.32291,0.88805,0.89333,0.56121,0.5566,0.58019,0.336,1.41542,1.08792,0.92688,0.009208,0.009208,0.009208
10,7861.6,1.31285,0.88128,0.89144,0.57572,0.55406,0.58759,0.33435,1.42183,1.0876,0.92724,0.009109,0.009109,0.009109
11,8625.42,1.30262,0.87418,0.88972,0.57133,0.56073,0.58895,0.34022,1.40519,1.07501,0.92458,0.00901,0.00901,0.00901
12,9390.46,1.29737,0.87,0.88878,0.57281,0.57061,0.594,0.34812,1.3807,1.05701,0.92005,0.008911,0.008911,0.008911
13,10151.4,1.28699,0.86406,0.8874,0.57192,0.57507,0.59456,0.34992,1.37272,1.05388,0.91885,0.008812,0.008812,0.008812
14,10913.5,1.28163,0.85954,0.88621,0.56583,0.5793,0.59244,0.35339,1.3547,1.0468,0.91584,0.008713,0.008713,0.008713
15,11676.6,1.27526,0.85551,0.88505,0.56717,0.58121,0.59356,0.35618,1.34641,1.03722,0.91425,0.008614,0.008614,0.008614
16,12447.3,1.27042,0.85185,0.88395,0.56621,0.58808,0.59648,0.35996,1.33824,1.02729,0.91263,0.008515,0.008515,0.008515
17,13212.3,1.26494,0.84884,0.88373,0.5629,0.59242,0.59656,0.36181,1.32983,1.02213,0.91122,0.008416,0.008416,0.008416
18,13986.4,1.26271,0.846,0.88286,0.56879,0.60037,0.60573,0.37148,1.31557,1.00811,0.90863,0.008317,0.008317,0.008317
19,14755.3,1.25696,0.842,0.88169,0.5697,0.6026,0.60859,0.37433,1.31124,1.00125,0.90787,0.008218,0.008218,0.008218
20,15525.1,1.2533,0.83904,0.88115,0.56794,0.60542,0.61005,0.37566,1.30838,0.99649,0.90718,0.008119,0.008119,0.008119
21,16294.4,1.2492,0.83753,0.88087,0.57078,0.60638,0.61312,0.37733,1.30704,0.9923,0.90687,0.00802,0.00802,0.00802
22,17060.7,1.24668,0.83518,0.88093,0.57219,0.60842,0.61554,0.37909,1.30546,0.98756,0.90655,0.007921,0.007921,0.007921
23,17834.5,1.24317,0.83251,0.87976,0.57372,0.60851,0.6173,0.37991,1.30596,0.98511,0.90646,0.007822,0.007822,0.007822
24,18603.1,1.23976,0.82997,0.87886,0.5751,0.60832,0.61864,0.38084,1.30548,0.98209,0.90622,0.007723,0.007723,0.007723
25,19371,1.24001,0.82971,0.87916,0.57747,0.60994,0.62162,0.38265,1.30499,0.97771,0.90598,0.007624,0.007624,0.007624
26,20138.9,1.23642,0.82736,0.87868,0.57812,0.61222,0.62354,0.38412,1.30293,0.97348,0.90548,0.007525,0.007525,0.007525
27,20910.8,1.23472,0.82587,0.87838,0.57965,0.61352,0.62541,0.38596,1.29969,0.96911,0.90487,0.007426,0.007426,0.007426
