epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.12,1.56615,1.62779,1.12395,0.63773,0.66571,0.70726,0.48568,1.09732,1.24475,1.11615,0.0033288,0.0033288,0.0033288
2,233.652,1.19218,1.04761,0.95932,0.68683,0.70995,0.77184,0.55352,1.02576,1.06561,1.02887,0.00659618,0.00659618,0.00659618
3,343.187,1.14504,0.98822,0.9391,0.71823,0.71101,0.79798,0.58332,0.95923,1.07884,1.00613,0.00979755,0.00979755,0.00979755
4,449.8,1.08156,0.93361,0.92176,0.73787,0.74639,0.8313,0.61026,0.9551,0.90772,0.99085,0.009703,0.009703,0.009703
5,558.594,1.01344,0.88536,0.90752,0.75394,0.77765,0.8495,0.61954,0.95439,0.85878,1.00928,0.009604,0.009604,0.009604
6,666.684,0.97247,0.85188,0.89861,0.76934,0.76674,0.85534,0.64114,0.89978,0.827,0.97302,0.009505,0.009505,0.009505
7,776.054,0.94194,0.82755,0.89145,0.78462,0.76544,0.86216,0.63892,0.92234,0.81034,0.98057,0.009406,0.009406,0.009406
8,884.657,0.92132,0.81174,0.88647,0.76698,0.77215,0.85842,0.64561,0.88885,0.78443,0.98061,0.009307,0.009307,0.009307
9,993.487,0.89844,0.79441,0.88265,0.77456,0.77936,0.86466,0.65546,0.8851,0.78404,0.96689,0.009208,0.009208,0.009208
10,1102.28,0.8841,0.78126,0.87962,0.76365,0.7711,0.85745,0.65671,0.86658,0.79939,0.96428,0.009109,0.009109,0.009109
11,1211.14,0.86861,0.77125,0.87726,0.76625,0.76618,0.85714,0.65559,0.87403,0.7913,0.961,0.00901,0.00901,0.00901
12,1319.96,0.85987,0.76127,0.87437,0.79396,0.771,0.87176,0.66137,0.87023,0.76798,0.96467,0.008911,0.008911,0.008911
13,1428.53,0.85049,0.75543,0.87375,0.80488,0.78187,0.88357,0.67456,0.8584,0.73208,0.96117,0.008812,0.008812,0.008812
14,1536.67,0.84149,0.74737,0.87182,0.81578,0.77061,0.88231,0.6712,0.86548,0.74164,0.96777,0.008713,0.008713,0.008713
15,1645.72,0.83139,0.73765,0.86994,0.78286,0.7871,0.87409,0.6698,0.86025,0.73252,0.96192,0.008614,0.008614,0.008614
16,1753.64,0.8209,0.73035,0.86793,0.76917,0.76477,0.85422,0.65194,0.86611,0.77559,0.9665,0.008515,0.008515,0.008515
17,1863.23,0.8213,0.72496,0.86661,0.75563,0.76878,0.85116,0.65221,0.86677,0.78896,0.96203,0.008416,0.008416,0.008416
18,1970.75,0.81223,0.72355,0.86552,0.78433,0.77526,0.87001,0.66773,0.8525,0.74139,0.95841,0.008317,0.008317,0.008317
19,2078.98,0.80276,0.71349,0.86332,0.782,0.75807,0.85526,0.65841,0.86216,0.77236,0.95834,0.008218,0.008218,0.008218
20,2186.27,0.79725,0.70984,0.86349,0.77122,0.75963,0.85422,0.65484,0.86808,0.77512,0.96236,0.008119,0.008119,0.008119
21,2293.78,0.79347,0.70334,0.86223,0.79189,0.78193,0.87492,0.66893,0.87377,0.73703,0.96278,0.00802,0.00802,0.00802
22,2401.98,0.78781,0.69941,0.85965,0.77497,0.77814,0.86081,0.65721,0.87481,0.76077,0.96527,0.007921,0.007921,0.007921
23,2511.07,0.78267,0.69516,0.86017,0.76646,0.78153,0.8609,0.65708,0.87679,0.75536,0.96776,0.007822,0.007822,0.007822
24,2619.49,0.7805,0.68782,0.8585,0.7877,0.7952,0.8753,0.6597,0.90852,0.7322,0.96306,0.007723,0.007723,0.007723
25,2727.9,0.7748,0.6855,0.85748,0.76351,0.77961,0.8526,0.64877,0.89555,0.76623,0.96138,0.007624,0.007624,0.007624
26,2836.03,0.77032,0.6811,0.85704,0.7598,0.78169,0.8512,0.63707,0.93027,0.78883,0.9704,0.007525,0.007525,0.007525
27,2943.69,0.7648,0.67531,0.85509,0.77639,0.78236,0.86232,0.653,0.89834,0.75938,0.96495,0.007426,0.007426,0.007426
